D:\anaconda3\python.exe E:/zhangxirui/RAFT/train.py 
Namespace(name='raft-sintel', stage='sintel', restore_ckpt='checkpoints/raft-name.pth', small=False, validation=['sintel'], lr=0.0001, num_steps=120000, batch_size=8, image_size=[368, 768], gpus=[0], mixed_precision=True, iters=12, wdecay=1e-05, epsilon=1e-08, clip=1.0, dropout=0.0, gamma=0.85, add_noise=False)
Parameter Count: 10584674
Training with 208200 image pairs
D:\anaconda3\lib\site-packages\torch\functional.py:445: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ..\aten\src\ATen\native\TensorShape.cpp:2157.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
D:\anaconda3\lib\site-packages\torch\optim\lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[   100,  0.0000056]     0.7361,     0.8665,     0.8952,     4.8248, 
[   200,  0.0000072]     0.7861,     0.8904,     0.9151,     4.2878, 
[   300,  0.0000088]     0.8091,     0.9003,     0.9231,     4.0674, 
[   400,  0.0000104]     0.8199,     0.9067,     0.9289,     3.4653, 
[   500,  0.0000120]     0.8089,     0.8956,     0.9199,     3.8150, 
[   600,  0.0000136]     0.8183,     0.9043,     0.9271,     3.6514, 
[   700,  0.0000152]     0.8508,     0.9266,     0.9452,     2.4630, 
[   800,  0.0000168]     0.8323,     0.9156,     0.9356,     3.2683, 
[   900,  0.0000184]     0.8285,     0.9097,     0.9317,     3.1353, 
[  1000,  0.0000200]     0.8474,     0.9197,     0.9384,     3.2436, 
[  1100,  0.0000216]     0.8323,     0.9134,     0.9349,     2.9195, 
[  1200,  0.0000232]     0.8457,     0.9188,     0.9382,     2.9886, 
[  1300,  0.0000248]     0.8368,     0.9157,     0.9360,     3.1865, 
[  1400,  0.0000264]     0.8334,     0.9141,     0.9341,     3.2410, 
[  1500,  0.0000280]     0.8395,     0.9175,     0.9379,     2.9736, 
